Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Iso-Lateral Row (Machine)",W,20.4,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Iso-Lateral Row (Machine)",1,31.7,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Iso-Lateral Row (Machine)",2,31.7,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Iso-Lateral Row (Machine)",3,36.1,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Iso-Lateral Row (Machine)",4,36.1,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Machine)",W,20.0,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Machine)",1,31.7,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Machine)",2,31.7,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Machine)",3,31.7,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Machine)",4,31.7,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Cable)",W,20.0,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Cable)",1,23.8,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Cable)",2,23.8,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Lat Pulldown (Cable)",3,20.0,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",1,7.5,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",2,10.0,10.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",3,10.0,8.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",4,10.0,5.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",5,7.5,5.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",6,5.0,5.0,0,0.0,
2024-05-08 18:15:00,"Evening Workout",1h 5m,"Bicep Curl (Cable)",7,2.5,5.0,0,0.0,
